Species,Expert,RCP,yr12,yr15,yr20,yr25,yr30,yr35,yr40,yr45,yr50,yr55,yr60,yr65,yr70,yr75,yr80,yr85,yr90,yr95,yr00,Dif12_00
Lutjanus_lutjanus,0,4.5,296386.001,296386.001,296386.001,296386.001,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,12068.5
Megalaspis_cordyla,0,4.5,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,0
Nemipterus_japonicus,1,4.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Parupeneus_heptacanthus,0,4.5,295276.975,305487.615,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,22083.5
Pennahia_anea,0,4.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Pentaprion_longimanus,0,4.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Rastrelliger_kanagurta,1,4.5,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,0
Saurida_elongata,0,4.5,54046.478,54166.256,69305.442,81232.55,139838.025,150048.665,173902.879,173902.879,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,0
Saurida_undosquamis,1,4.5,54046.478,54166.256,69305.442,81232.55,139838.025,150048.665,173902.879,173902.879,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,194151.21,140104.7
Scomberomorus_guttatus,0,4.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Selar_crumenophthalmus,1,4.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Sphyraena_barracuda,1,4.5,192580.566,215430.684,237568.431,237568.431,237568.431,257711.782,257711.782,257711.782,257711.782,257711.782,257711.782,257711.782,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,76104.2
Sphyraena_flavicauda,0,4.5,132886.437,167663.661,192957.384,192957.384,217050.845,237194.196,237194.196,237194.196,237194.196,237194.196,237194.196,237194.196,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,115280.7
Sphyraena_jello,0,4.5,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,0
Sphyraena_obtusata,1,4.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Synodus_myops,0,4.5,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,0
Upeneus_bensasi,0,4.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Upeneus_moluccensis,1,4.5,122720.121,145570.239,179685.802,203590.726,203590.726,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,234707.016,234707.016,234707.016,234707.016,234707.016,234707.016,234707.016,111986.9
Upeneus_sulphureus,0,4.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Upeneus_tragula,1,4.5,251981.97,262192.61,274065.447,274065.447,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,30354
Dussumieria_acuta,0,6,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,0
Lactarius_lactarius,0,6,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,306632.784,306632.784,291888.027,291888.027,280180.668,256124.378,-52330.1
Lepturacanthus_savala,0,6,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,306632.784,306632.784,291888.027,291888.027,280180.668,256124.378,-52330.1
Lutjanus_lutjanus,0,6,296386.001,296386.001,296386.001,296386.001,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,12068.5
Megalaspis_cordyla,0,6,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,0
Nemipterus_japonicus,1,6,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Parupeneus_heptacanthus,0,6,295276.975,295276.975,305487.615,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,22083.5
Pennahia_anea,0,6,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Pentaprion_longimanus,0,6,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Rastrelliger_kanagurta,1,6,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,0
Saurida_elongata,0,6,54046.478,54166.256,54166.256,69305.442,81232.55,93159.657,148701.609,148701.609,158912.249,158912.249,170839.356,182766.463,191036.977,189215.254,189215.254,180887.984,188388.684,188388.684,173040.311,0
Saurida_undosquamis,1,6,54046.478,54166.256,54166.256,69305.442,81232.55,93159.657,148701.609,148701.609,158912.249,158912.249,170839.356,182766.463,191036.977,189215.254,189215.254,180887.984,188388.684,188388.684,173040.311,118993.8
Scomberomorus_guttatus,0,6,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Selar_crumenophthalmus,1,6,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Sphyraena_barracuda,1,6,192580.566,203503.577,225641.324,237568.431,237568.431,237568.431,237568.431,257711.782,257711.782,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,268684.72,76104.2
Sphyraena_flavicauda,0,6,132886.437,143809.447,167663.661,182746.744,205025.891,217050.845,217050.845,228923.682,237194.196,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,248167.135,115280.7
